,Job title,Company name,Job description,Job location,Salary,Job type,Category,Salary type,Average annual salary,Average hourly salary
0,Data Analyst,Ramaz School,"Analyze, audit and modify data to assure data quality.Assure data integrity through analysis and modification of data during and after migration.","New York, NY 10075 (Upper East Side area)",65000 - 75000 a year,Full-time,data analyst,year,70000.0,
1,Program Data Support Analyst,Goodwin Recruiting,Load monthly reports to data processing tools and running models to obtain aggregated data sets.Support data mapping and implementation efforts for new…,,100000 - 150000 a year,,analyst,year,125000.0,
2,Program Data Support Analyst,Goodwin Recruiting,Load monthly reports to data processing tools and running models to obtain aggregated data sets.Support data mapping and implementation efforts for new…,,100000 - 150000 a year,,analyst,year,125000.0,
3,Jr SQL Dev/Dev Ops/BA/Data Engineering,VForce InfoTech,H1B TRANSFER AND GC FILING WITH THE BEST BILLING RATES*.We can Match Your Expectation if you are already experienced on Above explained area.,"Hybrid remote in Edison, NJ 08837",60000 - 100000 a year,Full-time,engineer,year,80000.0,
4,Data Analyst,Columbia University,"The successful candidate will be detail-oriented, organized, strong writing skills, and have experience analyzing data, and proficiency in R. She/he/they will…","New York, NY",78000 - 80000 a year,Full-time,data analyst,year,79000.0,
5,Data Analyst I-Transgender Program-Mount Sinai Hospital-Full Time Days,Mount Sinai,"Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data.","New York, NY 10011 (Chelsea area)",58661 - 74250 a year,Full-time,data analyst,year,66455.5,
6,Business Development Data Analyst - Remote Work,BairesDev,"Identify opportunities to use data analytics tools to monitor, extract, and evaluate data.Advanced methodical skills, attention to detail, and deadline-driven.","Remote in Brooklyn, NY",45000 a year,Flextime,data analyst,year,45000.0,
7,Data Engineer - Analyst,JPMorgan Chase & Co,Basic knowledge of the data lifecycle and data management functions.Analyzes complex data patterns to generate insights.Verifies accuracy of analysis results.,"Hybrid remote in Jersey City, NJ 07310",70300 - 95000 a year,Full-time,engineer,year,82650.0,
8,Data Analyst,American Museum of Natural History,"The Data Analyst will download and interpret data from the Condor Array and Hubble Space Telescopes, using the results to create graphs and figures for…","New York, NY 10024 (Upper West Side area)",Up to 46000 a year,Full-time,data analyst,year,46000.0,
9,Data Analyst,Fortune Society Inc,"The position involves identifying and determining data points for collection, working with internal data and IT departments to ensure data collection points are…","Bronx, NY 10451 (South Bronx area)",65000 a year,Full-time,data analyst,year,65000.0,
10,Data Analyst,The City University of New York (CUNY),"Collect, review, and analyze research documents and data, including but not limited to CUNYFirst Data/ student data/ student id data/ ASAP program information/…","Bronx, NY",93854 a year,Temporary,data analyst,year,93854.0,
11,Data Analyst,"iHeartMedia, Inc.",Collaborate with the internal Master Data Management (MDM) team to ensure alignment of agency and advertiser data across all systems.,"New York, NY 10019 (Midtown area)",64000 - 88000 a year,Full-time,data analyst,year,76000.0,
12,IT Business Analyst,Division of Information Technology - NYC...,"6+ years of experience in a role as a business analyst or related field.Identifies goals, develops best practices for data collection, and analyzes current…","Hybrid remote in Long Island City, NY 11101",95000 - 125000 a year,Full-time,it business analyst,year,110000.0,
13,Professional Services Data Analyst,Mastercard,"Create organized deliverables to tell a story leveraging data.Perform sophisticated quantitative analyses (Google Analytics, Adobe Analytics, Tableau) that…","New York, NY 10027 (Harlem area)",105000 - 120000 a year,Full-time,data analyst,year,112500.0,
14,Revenue Cycle Analyst-Patient Access,NYU Langone,Prepare and analyze operational and revenue cycle reports to summarize performance using data from multiple sources; evaluate data and reports to identify…,"New York, NY",63935 - 82951 a year,Full-time,analyst,year,73443.0,
15,Segmentation Analyst - Calvin Klein,PVH,"The ideal candidate is a seasoned marketing analyst who is passionate about using data to drive customer-centered improvements and innovation, an organized team…","Hybrid remote in New York, NY",75000 - 90000 a year,Full-time,analyst,year,82500.0,
16,Big Data Analyst (Temporary),A+E Networks,"Experience in data management and data governance.A+E Networks is seeking a Freelancer to engage in CRM/audience data analytics, consumer data privacy…","New York, NY",100 an hour,Full-time,data analyst,hour,,100.0
17,Business Analyst,NYC Careers,Perform a variety of quality control checks to maintain and assure the accuracy and consistency of data in tracking systems.,"New York, NY 10007 (Lower East Side area)",98901 - 125000 a year,Full-time,business analyst,year,111950.5,
18,"Data Analyst II, Learning Analytics and Assessment - Graduate School of Biomedical Studies",Mount Sinai,"Proficiency in data analysis tools such as Excel, R, and Python.Familiarity with data visualization tools like Tableau or similar platforms to create…","New York, NY 10029 (Yorkville area)",70000 - 105124 a year,,data analyst,year,87562.0,
19,Freight Analyst,NYC Careers,"Key responsibilities include : 1) Conduct economic and planning research studies to inform policy, program, and project development; 2) Analyze and interpret…","Manhattan, NY 10004 (Financial District area)",70087 - 84805 a year,Full-time,analyst,year,77446.0,
20,"Analyst, North American Operations (Inventory)",Peloton,"Advanced in Excel, comfortable with large data sets.Capture and analyze data variances across the internal and external network - develop and lead root cause…","New York, NY 10011 (Chelsea area)",81800 - 106400 a year,,analyst,year,94100.0,
21,Strategy Analyst,Spectrum,"Strong foundation in reporting, data mining, and predictive modeling.Analyze models for data-driven strategy recommendations and communicating results in a…","Stamford, CT 06902 (Downtown area)",,Full-time,analyst,,,
22,Geospatial Analyst,ReServe,2+years of data analyst experience.Your eye for detail and analytics skills come in handy as you create algorithms for processing spatial data to report and…,"New York, NY 10035 (East Harlem area)",58500 a year,Full-time,analyst,year,58500.0,
23,Financial Analyst,Ipsos,"Data savvy with a strong attention to detail and accuracy.Assist Project Managers in the maintenance of project attributes, including conducting monthly…","New York, NY",63000 - 72000 a year,,financial analyst,year,67500.0,
24,"Researcher/Data Analyst, Bureau of Mental Health",NYC Careers,"The successful candidate will have 3-5 years full time experience processing, cleaning, manipulating, and analyzing large program or administrative datasets…","Queens, NY 11101",82506 - 94882 a year,Full-time,data analyst,year,88694.0,
25,Associate - Data Analysis and Special Projects,New York Life Insurance Co,Convert participant-level census data into a consistent format for use in pricing models.The Pension Risk Transfer (PRT) Installation Team is looking for an…,"Hybrid remote in Jersey City, NJ",58500 - 77500 a year,,,year,68000.0,
26,Senior Business Analyst,FD Technologies,Investigating overnight batch failures caused by missing market data.Performing quality control and quality assurance for junior analysts to advise on the…,"New York, NY",125000 a year,Full-time,business analyst,year,125000.0,
27,"CIR Data Governance and QA Analyst, Bureau of Immunization",NYC Careers,Manage requests for ongoing and ad-hoc data submissions and data access including subpoenas.Ensure data integrity by performing gap analyses to inform data…,"Queens, NY 11101",92301 - 114687 a year,Full-time,analyst,year,103494.0,
28,Data Analyst,Children's Aid,"Manage the exchange of data pursuant to data sharing agreements, observing all confidentiality and use requirements.","Manhattan, NY 10027 (Hamilton Heights area)",65000 - 80000 a year,,data analyst,year,72500.0,
29,Data Analyst,Public Health Solutions,"Support teams with data management, data cleaning, data analysis, and data visualization in order to carry out day-to-day monitoring and evaluation.","New York, NY 10013 (Tribeca area)",70000 a year,Full-time,data analyst,year,70000.0,
30,"Analyst, Data Operations",PMX,"Alteryx data cleansing/pipelining is a plus.Have applied data science, modelling, analytics and reporting experience implementing and supporting data platforms…","New York, NY 10014 (SoHo area)",58500 - 88000 a year,Full-time,analyst,year,73250.0,
31,Entry Level Data Analyst,"Swivel Payment Solutions, LLC",Monitor data quality and perform data cleansing as needed.Experience with data visualization tools such as Tableau or Power BI.,"New York, NY",62063 - 65095 a year,Full-time,data analyst,year,63579.0,
32,"Business Data and Reporting Analyst, Level 1",The City University of New York (CUNY),Ability to review data and make decisions on likelihood of enrollment.Prepares and cleans data for messaging created from the CollegeApp system.,"Hybrid remote in Staten Island, NY",21.30 an hour,Part-time,analyst,hour,,21.3
33,Research Analyst,NYU Langone,"We will support the data analyst in pursuing first author publications.All aspects of data analysis to answer research questions, including data wrangling and…","New York, NY",63935 - 72800 a year,Full-time,research analyst,year,68367.5,
34,Data Science - Senior Digital Research & Analytics Analyst - Remote,Northwell Health,"3-5 years of relevant experience, required.Utilizes both qualitative and quantitative data to ensure optimal site health and move the needle on satisfaction…","Remote in Melville, NY 11747",75020 - 126250 a year,Full-time,analyst,year,100635.0,
35,Business Analyst,DONIA LLC,Summary: *We are seeking a Business Analyst to help keep the data-based projects on track.Resources will be able to work in tandem with the existing team to…,"Long Island City, NY 11101",45 - 60 an hour,Full-time,business analyst,hour,,52.5
36,Data Analyst,"Information Resources, Inc","Responsible for designing data profiling\trending and similar checks for data quality and consistency.In this role, you will be responsible for deriving…","New York, NY 10001 (Chelsea area)",100000 - 120000 a year,Full-time,data analyst,year,110000.0,
37,"Senior Data Analyst, Amazon",Harry's,"Within the broader Data org, you'll work most closely with the other data analysts and analytics engineers on the team.One month sabbatical after 5 years.","New York, NY 10004 (Financial District area)",111200 - 139000 a year,,data analyst,year,125100.0,
