,Job title,Company name,Job description,Job location,Salary,Job type
0,Data Analyst,Ramaz School,"Analyze, audit and modify data to assure data quality.Assure data integrity through analysis and modification of data during and after migration.","New York, NY 10075 (Upper East Side area)","$65,000 - $75,000 a year",Full-time
1,Program Data Support Analyst,Goodwin Recruiting,Load monthly reports to data processing tools and running models to obtain aggregated data sets.Support data mapping and implementation efforts for new…,,"$100,000 - $150,000 a year",NaN
2,Jr SQL Dev/Dev Ops/BA/Data Engineering,VForce InfoTech,H1B TRANSFER AND GC FILING WITH THE BEST BILLING RATES*.We can Match Your Expectation if you are already experienced on Above explained area.,"Hybrid remote in Edison, NJ 08837","$60,000 - $100,000 a year",Full-time
3,Data Analyst,Columbia University,"The successful candidate will be detail-oriented, organized, strong writing skills, and have experience analyzing data, and proficiency in R. She/he/they will…","New York, NY","$78,000 - $80,000 a year",Full-time
4,Data Analyst I-Transgender Program-Mount Sinai Hospital-Full Time Days,Mount Sinai,"Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data.","New York, NY 10011 (Chelsea area)","$58,661 - $74,250 a year",Full-time
5,Business Development Data Analyst - Remote Work,BairesDev,"Identify opportunities to use data analytics tools to monitor, extract, and evaluate data.Advanced methodical skills, attention to detail, and deadline-driven.","Remote in Brooklyn, NY","$45,000 a year",Flextime
6,Data Engineer - Analyst,JPMorgan Chase & Co,Basic knowledge of the data lifecycle and data management functions.Analyzes complex data patterns to generate insights.Verifies accuracy of analysis results.,"Hybrid remote in Jersey City, NJ 07310","$70,300 - $95,000 a year",Full-time
7,Data Analyst,American Museum of Natural History,"The Data Analyst will download and interpret data from the Condor Array and Hubble Space Telescopes, using the results to create graphs and figures for…","New York, NY 10024 (Upper West Side area)","Up to $46,000 a year",Full-time
8,Data Analyst,Fortune Society Inc,"The position involves identifying and determining data points for collection, working with internal data and IT departments to ensure data collection points are…","Bronx, NY 10451 (South Bronx area)","$65,000 a year",Full-time
9,Data Analyst,The City University of New York (CUNY),"Collect, review, and analyze research documents and data, including but not limited to CUNYFirst Data/ student data/ student id data/ ASAP program information/…","Bronx, NY","$93,854 a year",Temporary
10,Data Analyst,"iHeartMedia, Inc.",Collaborate with the internal Master Data Management (MDM) team to ensure alignment of agency and advertiser data across all systems.,"New York, NY 10019 (Midtown area)","$64,000 - $88,000 a year",Full-time
11,IT Business Analyst,Division of Information Technology - NYC...,"6+ years of experience in a role as a business analyst or related field.Identifies goals, develops best practices for data collection, and analyzes current…","Hybrid remote in Long Island City, NY 11101","$95,000 - $125,000 a year",Full-time
12,Professional Services Data Analyst,Mastercard,"Create organized deliverables to tell a story leveraging data.Perform sophisticated quantitative analyses (Google Analytics, Adobe Analytics, Tableau) that…","New York, NY 10027 (Harlem area)","$105,000 - $120,000 a year",Full-time
13,Revenue Cycle Analyst-Patient Access,NYU Langone,Prepare and analyze operational and revenue cycle reports to summarize performance using data from multiple sources; evaluate data and reports to identify…,"New York, NY","$63,935 - $82,951 a year",Full-time
14,Segmentation Analyst - Calvin Klein,PVH,"The ideal candidate is a seasoned marketing analyst who is passionate about using data to drive customer-centered improvements and innovation, an organized team…","Hybrid remote in New York, NY","$75,000 - $90,000 a year",Full-time
15,Big Data Analyst (Temporary),A+E Networks,"Experience in data management and data governance.A+E Networks is seeking a Freelancer to engage in CRM/audience data analytics, consumer data privacy…","New York, NY",$100 an hour,Full-time
16,Business Analyst,NYC Careers,Perform a variety of quality control checks to maintain and assure the accuracy and consistency of data in tracking systems.,"New York, NY 10007 (Lower East Side area)","$98,901 - $125,000 a year",Full-time
